Age_Group,Gender,Occupation,City_Tier,Income,Monthly_Spending,Monthly_Savings,Budget_Following,Spending_Category,Tracking_Frequency,Food_Order_Frequency,Impulse_Purchase,Subscriptions,Spending_Trigger,Post_Spending_Feeling,Purchase_Decision,Discount_Influence,Financial_Goal,Financial_Awareness,Discipline_Score,App_Usage,App_Drop_Reason,Preferred_Feature,Spending_Combination,Lifestyle,App_Interest
45+,Female,Professional,Tier2,50000-100000,41515,12990,No,Entertainment,Daily,Daily,Sometimes,3,Discounts,Neutral,Compare,Moderate,Debt,No,5,No,Time-consuming,Budget alerts,Subscriptions+Entertainment,Luxury,Yes
18-24,Male,Student,Tier1,20000-50000,29576,3632,Yes,Travel,Daily,Daily,Very often,3,Need-based,Dont notice,Instant,Strongly,Debt,No,2,No,Time-consuming,Saving suggestions,Food+Entertainment,Minimalist,Yes
35-44,Female,Homemaker,Tier3,100000+,89395,38180,Yes,Food,Daily,Daily,Never,4,Discounts,Guilty,Compare,Moderate,Debt,Yes,4,Yes,Time-consuming,Saving suggestions,Subscriptions+Entertainment,Luxury,Maybe
18-24,Female,Student,Tier1,50000-100000,60483,18801,Yes,Entertainment,Daily,Daily,Never,0,Discounts,Guilty,Plan,Not at all,Saving,Sometimes,4,Yes,Time-consuming,Spending prediction,Subscriptions+Entertainment,Balanced,Maybe
18-24,Male,Student,Tier2,50000-100000,43066,18567,No,Travel,Daily,Rarely,Sometimes,4,Discounts,Dont notice,Instant,Moderate,Saving,No,1,No,Too manual,Saving suggestions,Subscriptions+Entertainment,Luxury,Yes
25-34,Male,Self-employed,Tier3,20000-50000,20111,4261,Yes,Entertainment,Never,Rarely,Never,2,Need-based,Neutral,Compare,Not at all,Debt,Yes,3,Yes,None,Saving suggestions,Shopping+Travel,Balanced,Maybe
18-24,Female,Student,Tier1,50000-100000,35082,12118,Yes,Food,Occasionally,Rarely,Never,0,Discounts,Neutral,Instant,Moderate,Investing,No,2,No,Too manual,Spending prediction,Food+Entertainment,Minimalist,Maybe
35-44,Male,Professional,Tier1,100000+,84578,10932,No,Food,Occasionally,Weekly,Sometimes,3,Discounts,Guilty,Compare,Moderate,Debt,Sometimes,1,Yes,Too manual,Budget alerts,Food+Shopping,Minimalist,Yes
35-44,Female,Homemaker,Tier2,20000-50000,35498,9109,No,Food,Never,Daily,Never,2,Emotional,Guilty,Compare,Moderate,Managing expenses,Sometimes,2,No,Too manual,Saving suggestions,Food+Entertainment,Balanced,Yes
25-34,Female,Professional,Tier2,20000-50000,31086,7080,No,Entertainment,Weekly,Daily,Sometimes,3,Need-based,Guilty,Compare,Not at all,Managing expenses,Yes,4,No,Too manual,Budget alerts,Shopping+Travel,Balanced,Yes
25-34,Female,Self-employed,Tier1,20000-50000,33900,7099,No,Entertainment,Occasionally,Rarely,Sometimes,0,Discounts,Neutral,Plan,Moderate,Debt,Sometimes,3,Yes,Too manual,Saving suggestions,Shopping+Travel,Luxury,Yes
18-24,Male,Self-employed,Tier3,100000+,50071,13510,Yes,Travel,Occasionally,Daily,Very often,2,Need-based,Neutral,Plan,Strongly,Saving,No,1,No,Too manual,Expense tracking,Food+Entertainment,Minimalist,Maybe
35-44,Male,Homemaker,Tier2,50000-100000,43705,14369,No,Bills,Occasionally,Rarely,Never,0,Emotional,Guilty,Instant,Not at all,Saving,Sometimes,5,Yes,Too manual,Spending prediction,Food+Shopping,Minimalist,Maybe
45+,Female,Self-employed,Tier1,100000+,102434,20168,No,Food,Weekly,Daily,Never,4,Discounts,Dont notice,Instant,Strongly,Saving,Sometimes,1,No,Too manual,Spending prediction,Subscriptions+Entertainment,Minimalist,Maybe
